lambdas,alphas
0.08,1.259386423342221
0.09,1.2989790368345233
0.09999999999999999,1.328370536502005
0.10999999999999999,1.284445982102146
0.11999999999999998,1.2886434598989236
0.12999999999999998,1.2832877626094754
0.13999999999999996,1.1852415228562767
0.14999999999999997,1.0042090313174916
0.15999999999999998,0.8408512999711165
0.16999999999999996,0.6381503913653777
0.17999999999999994,0.38678007784470925
0.18999999999999995,0.21754752433049046
0.19999999999999996,0.10176437161678306
0.20999999999999996,0.060405789913204715
0.21999999999999992,0.026174687303462046
0.22999999999999993,0.01677729786027792
0.23999999999999994,0.01678856560596217
0.24999999999999994,0.0183515570754856
0.2599999999999999,0.015684730928176398
0.2699999999999999,0.022400853987378188
0.2799999999999999,0.0179531984610846
0.2899999999999999,0.01270569563826203
